countryshort,party_id,party_short,party_name,party_name_english,country_id,country_abb,country,country_en,year_first,year_last,partyfacts_id
DNK,215,DF,Dansk Folkeparti,Danish People's Party,,,,,1999,2023,1022
DNK,203,KF,Det Konservative Folksparti,Conservative People's Party,,,,,1999,2023,536
DNK,216,JuniB,JuniBevregelsen,June Movement,,,,,1999,2006,1421
DNK,217,FolkB,Folkebevregelsen mod EU,People's Movement Against the EU,,,,,1999,2014,333
DNK,202,RV,Det Radikale Venstre,Radical Left-Social Liberal Party,,,,,1999,2023,1507
DNK,218,LA,Liberal Alliance,Liberal Alliance,,,,,2010,2023,212
DNK,220,NB,Nye Borgerlige,The New Right,,,,,2019,2023,7339
DNK,219,A,Alternativet,The Alternative,,,,,2019,2023,4070
DEU,309,"DVU; NPD
",Deutsche Volksunion; Nationaldemokratische Partei Deutschlands,German People's Union; National  Democratic Party of Germany,,,,,1999,2014,695
DEU,301,CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union of Germany,,,,,1999,2023,1375
DEU,302,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,,,,,1999,2023,383
DEU,306,"PDS; Linkspartei; Linke
","Partei des Demokratischen Sozialismus; Die Linkspartei; Die Linke
","Party of Democratic Socialism; Left  Party; The Left
",,,,,1999,2023,1545
DEU,305,REP,Republikaner,Republikaner,,,,,1999,1999,720
DEU,304,Grunen,Bündnis '90; Die Grünen,Alliance 90; The Greens,,,,,1999,2023,1816
DEU,308,CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria,,,,,1999,2023,1731
DEU,303,FDP,Freie Demokratische Partei,Free Democratic Party,,,,,1999,2023,573
DEU,310,AfD,Alternative für Deutschland,Alternative for Germany,,,,,2014,2023,1976
DEU,312,DieTier,Mensch Umwelt Tierschutz,Human Environment  Animal Protection,,,,,2014,2020,749
DEU,311,Piraten,Piratenpartei Deutschland,Pirate Party of Germany,,,,,2014,2020,1287
GRC,401,PASOK,Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement,,,,,1999,2023,1468
GRC,408,POLA,Politiki Anixi,Political Spring,,,,,1999,1999,312
GRC,409,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement,,,,,1999,2010,1682
GRC,404,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece,,,,,1999,2023,48
GRC,403,SYN; SYRIZA,Synaspismós tïs Aristerás kai tïs Proódou; Synaspismó’s Rizospastikís Aristerás,Coalition of the Left and Progress; Coalition of the Radical Left,,,,,1999,2023,301
GRC,402,ND,Néa Dimokratia,New Democracy,,,,,1999,2023,794
GRC,410,LAOS,Laïkós Orthódoxos Synagermós,Popular Orthodox Rally,,,,,2006,2014,965
GRC,411,OP,Oikologoi Prasinoi,Ecologist Greens,,,,,2010,2010,378
GRC,414,DIIVIAR,Dimokratiki Aristera,Democratic Left,,,,,2014,2017,1160
GRC,415,XA,Laïkós Sýndesmos—Chrysí Avgí,Popular Association-Golden Dawn,,,,,2014,2023,1660
GRC,413,Potami,To Potami,The River,,,,,2014,2017,3118
GRC,412,ANEL,Anexartitoi Ellines,Independent  Greeks,,,,,2014,2017,1651
GRC,417,MR25,Metopo Evropaikis Realistikis Anypakois,European Realistic Disobedience Front  [MeRa25],,,,,2019,2023,7348
GRC,418,KIDISO,Kinima Dimokraton Sosialiston,Movement of Democratic Socialists,,,,,2019,2023,3212
GRC,416,EL,Elliniki Lisi,Greek Solution,,,,,2019,2023,7347
ESP,502,PP,Partido Popular,People's Party,,,,,1999,2023,441
ESP,519,PSC,Partit dels Socialistes de Catalunya,Catalan Socialist Party,,,,,1999,1999,1687
ESP,507,EA,Eusko Alkartasuna,Basque Solidarity,,,,,1999,2017,1324
ESP,517,cc,Coalicion Canaria,Coalicion Canaria,,,,,1999,2023,81
ESP,501,PSOE,Partido Socialista Obrero Espanol,Spanish Socialist Workers' Party,,,,,1999,2023,1338
ESP,505,CiU,Convergencia i Unió,Convergence and Unity,,,,,1999,2014,139
ESP,508,EH,Euskal Herritarrok,We Basque Citizens,,,,,1999,1999,473
ESP,511,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia,,,,,1999,2023,848
ESP,513,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc,,,,,1999,2023,1011
ESP,514,VERDE,Los Verdes,The Greens,,,,,1999,1999,2457
ESP,518,IC,Iniciativa per Catalunya,Initiative for Catalonia,,,,,1999,2014,1260
ESP,510,PAR,Partido Aragones,Aragonese Party,,,,,1999,1999,946
ESP,506,PNV,Euzko Alderdi  Jeltzalea/Partido Nacionalista Vasco,Basque Nationalist Party,,,,,1999,2023,1637
ESP,504,IU,Izquierda Unida,United Left,,,,,1999,2023,247
ESP,512,UV,Union Valenciana,Valencian Union,,,,,1999,1999,1094
ESP,516,PA,Partido Andalucia,Andalusian Party,,,,,2002,2002,1497
ESP,520,CHA,Chunta Aragonesista,Aragonese Council,,,,,2006,2010,1564
ESP,523,UPyD,Union Progreso y Democracia,"Union, Progress, and Democracy",,,,,2010,2014,55
ESP,522,EdP-V,Europa de los Pueblos-Los Verdes,Europe of the Peoples-Greens,,,,,2010,2010,1643
ESP,521,CpE,Coalicion por Europa,Coalition for Europe,,,,,2010,2010,5853
ESP,526,Cs,Ciudadanos-Partido de la Ciudadanfa,Citizens-Party  of the Citizenry,,,,,2014,2023,3217
ESP,524,Amaiw·,Amaiur,Amaiur,,,,,2014,2023,1671
ESP,525,Podemos,Podemos; Unidas Podemos,We Can,,,,,2014,2023,3203
ESP,528,Pais,Mas Pais,More Country,,,,,2019,2023,8395
ESP,550,PdeCat,Partit Democrata Europeu Catala (Junts per Cataluyna),Catalan European Democratic Party (Together for Catalonia partner),,,,,2017,2023,4795
ESP,527,Vox,Vox,Voice (Latin),,,,,2019,2023,3218
FRA,613,UDF; MoDem,Union pour la Démocratie Française; Mouvement Democrate,Union for French Democracy Democratic Movement,,,,,1999,2023,496
FRA,615,DL,Democratie Libérale,Liberal Democracy,,,,,1999,2002,4364
FRA,619,CPNT,"Chasse, Pêche, Nature, Traditions","Hunting, Fishing, Nature, Tradition Party",,,,,1999,1999,1313
FRA,602,PS,Parti Socialiste,Socialist Party,,,,,1999,2023,1478
FRA,601,PCF,Parti Communiste Frarn;ais,French Communist Party,,,,,1999,2023,1251
FRA,603,PRG,Parti Radical de Gauche,Left Radical Party,,,,,1999,2023,14
FRA,610,FN;RN,Front National; Rassemblement national,National  Front; National Rally,,,,,1999,2023,433
FRA,614,LO-LCR,Lutte Ouvriére/Ligue communiste révolutionnaire,Workers' Struggle/Revolutionary Communist League,,,,,1999,1999,1506
FRA,605,VERTS; EELV,Les Verts; Europe Ecologie Les Verts,Green Party; Europe Ecology-The Greens,,,,,1999,2023,1108
FRA,609,RPR; Ul\IIP; LR,Rassemblement pour la Republique; Union pour un Mouvement Populaire; Les Republicains,Rally for the Republic; Union for Popular Movement; The Republicans,,,,,1999,2023,1595
FRA,620,MN,Mouvement National  Republicain,National  Republican Movement,,,,,1999,1999,1634
FRA,612,RPF/MPF; MPF,Rassemblement pour la France/Mouvement Pour la France; Mouvement Pour la France,Rally for France/Movement for France; Movement for France,,,,,1999,2014,364
FRA,617,MEI,Mouvement Ecologiste Indépendant,Independent Ecological Movement,,,,,1999,1999,2536
FRA,618,D,La Droite,The Right,,,,,1999,1999,1776
FRA,621,NC,Nouveau Centre,New Center,,,,,2010,2017,1255
FRA,622,PRV,Parti radical,Radical Party,,,,,2014,2014,14
FRA,624,PG,Parti de Gauche,Left Party,,,,,2014,2014,4363
FRA,625,Ens,Ensemble,Together,,,,,2014,2014,2536
FRA,623,AC,Alliance centriste,Centrist Alliance,,,,,2014,2014,1177
FRA,627,FI,La France Insourmise,Unbowed France,,,,,2017,2023,5858
FRA,626,LREM,La République En Marche,The Republic Forward,,,,,2017,2023,5857
FRA,628,DLF,Debout la France,France Arise,,,,,2017,2023,3207
IRL,701,FF,Fianna Fáil,Soldiers of Destiny,,,,,1999,2023,1055
IRL,702,FG,Fine Gael,Family of the Irish,,,,,1999,2023,1288
IRL,707,SF,Sinn Féin,\i\Te Ourselves,,,,,1999,2023,4
IRL,703,Lab,Páirti Lucht Oibre,Labour,,,,,1999,2023,562
IRL,705,GP,Comhaontas Glas,Green Party,,,,,1999,2023,1775
IRL,708,SP,Páirtí Sóisialach,Socialist Party,,,,,1999,2023,1448
IRL,709,PBPA; S-PBP,People Before Profit Alliance; Dlúthphairtíocht–Pobal Roimh Bhrabús,People Before Profit Alliance; Solidarity-People Before Profit,,,,,2014,2023,242
IRL,710,DS,Daonlathaigh Shóisialta,Social Democrats,,,,,2019,2023,4870
IRL,711,I4C,Independents for Change,Independents for Change,,,,,2019,2023,8181
IRL,712,RI,Renua Ireland,Renua Ireland,,,,,2019,2020,4869
ITA,803,RC,Partito della Rifondazione Comunista,Communist Refoundation PaJ ty,,,,,1999,2014,1404
ITA,807,PSDI; SDI,Partito Socialista Democratico Italiano; Socialisti Democratici  Italiani,Italian Democratic Socialist Party; Italian Democratic Socialists,,,,,1999,2006,1126
ITA,806,PRI,Partito Repubblicano Italiano,Italian Republican Party,,,,,1999,1999,394
ITA,821,MS,Movimento Sociale Fiamma Tricolore,Tricolor Flame Social Movement,,,,,1999,1999,1101
ITA,811,LN,Lega Nord,Northern  League,,,,,1999,2023,1221
ITA,805,AN,Alleanza Nazionale,National Alliance,,,,,1999,2010,813
ITA,825,RI,Rinnovamento Italiano,Italian Renewal-Dini List,,,,,1999,2002,259
ITA,823,PPI,Partito PopolaJ·e Italiano,Italian Popular Party,,,,,1999,2002,1701
ITA,815,FI,Forza Italia,Forward Italy,,,,,1999,2023,1626
ITA,817,CU/UD,Unione  Democratica,Democratic Union,,,,,1999,1999,614
ITA,827,SVP,Südtiroler Volkspartei,South Tyrolean People's Party,,,,,1999,2020,1369
ITA,822,PdUP,Partito di Unita Proletaria,Party of Proletarian Unity for Communism,,,,,1999,1999,598
ITA,824,PsDA,Partito Sardo d'Azione,Sardinian Action Party,,,,,1999,1999,877
ITA,808,FdV;Verdi,Federazione dei Verdi,Federation of Greens,,,,,1999,2010,851
ITA,818,CDU,CristiaJ1i Democratici Uniti,United Christian Democrats,,,,,1999,2002,763
ITA,820,LB,Lista Bonino,Bonino List,,,,,1999,1999,2134
ITA,819,DEM; DL,I Democratici; Democrazia e Liberta­; La Margherita,The Democrats; Democracy is Freedom­; The Daisy,,,,,1999,2006,279
ITA,814,CCD; UDC,Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro; Unione di Centro,Christian Democratic Center; Union of Christian and Center Democrats; Union of the Centre,,,,,1999,2017,1767
ITA,802,PDS; DS,Partito Democratico della Sinistra; Democratici  di Sinistra,Democratic Party of the Left; Democrats of the Left,,,,,1999,2006,878
ITA,826,SEG,Patto Segni,Segni Pact,,,,,1999,1999,688
ITA,828,IdV,Di Pietro-Italia dei Valori,Italy of Values,,,,,2002,2010,768
ITA,829,UDEUR,Popolari-UDEUR,Popular-UDEUR,,,,,2002,2006,115
ITA,835,NPSI,Nuovo Partito Socialista Italiano,New Italian Socialist Party,,,,,2006,2006,888
ITA,830,pp,Partito dei Pensionati,Pensioners' Party,,,,,2006,2006,772
ITA,813,RAD,Radicali Italiani,Italian Radicals,,,,,2006,2020,1449
ITA,836,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists,,,,,2006,2010,1635
ITA,832,MRE,Movimento Repubblicani Europei,EuropeaJ1Republican Movement,,,,,2006,2023,1165
ITA,839,PSI,Partito Socialista Italiano,Italian Socialist Party,,,,,2010,2010,742
ITA,842,SD,Sinistra Democratica,Democratic Left,,,,,2010,2010,2415
ITA,838,SL; SEL,Sinistra e Liberta; Sinistra Ecologia Liberta Sinistra Italiana,Left and Freedom; Left Ecology Freedom Stalian Left-Left Ecology Freedom,,,,,2010,2023,1212
ITA,837,PD,Partido Democratico,Democratic Party,,,,,2010,2023,802
ITA,840,MpA,Movimento per le Autonomie,Movement for Autonomies,,,,,2010,2010,279
ITA,846,SC,Scelta Civica,Civic Choice,,,,,2014,2014,2281
ITA,847,VdA,Vallee d'Aoste,Aosta Valley,,,,,2014,2017,6242
ITA,844,FdI,Fratelli d'Italia,Brothers ofltaly,,,,,2014,2023,2280
ITA,845,M5S,MoVimento Cinque Stelle,Five Star Movement,,,,,2014,2023,2046
ITA,843,CD;,Centro Democratico-Diritti e Liberta,Democratic Centre,,,,,2014,2020,2278
ITA,848,NCD,Nuovo Centrodestra,New Centre-Right,,,,,2014,2014,2052
NLD,1001,CDA,Christen-Democratisch  Appel,Christian  Democratic Appeal,,,,,1999,2023,1157
NLD,1007,GPV,Gereformeerd Politiek Verbond,Reformed Political League,,,,,1999,1999,1602
NLD,1014,SP,Socialistische Partij,Socialist Party,,,,,1999,2023,1363
NLD,1002,PvdA,Partij van de Arbeid,Labour Party,,,,,1999,2023,1234
NLD,1009,CD,Centrum Democraten,Center Democrats,,,,,1999,2020,1472
NLD,1003,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democracy,,,,,1999,2023,828
NLD,1006,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,,,,,1999,2023,1178
NLD,1008,RPF,Reformatorische Politieke Federatie,Reformational Political Federation,,,,,1999,1999,172
NLD,1005,GL,GroenLinks,GreenLeft,,,,,1999,2023,1537
NLD,1004,D66,Democraten 66,Democrats 66,,,,,1999,2023,45
NLD,1015,LPF,Lijst Pim Fortuyn,Lijst Pim Fortuyn,,,,,2002,2002,1528
NLD,1016,CU,ChristenUnie,ChristianUnion,,,,,2002,2023,1459
NLD,1017,PVV,Partij voor de Vrijheid,Party for Freedom,,,,,2006,2023,298
NLD,1018,PvdD,Partij voor de Dieren,Party for the Animals,,,,,2010,2023,1467
NLD,1020,50PLUS,50PLUS,50PLUS,,,,,2014,2023,714
NLD,1051,FvD,Forum voor Democratie,Formn for Democracy,,,,,2017,2023,5855
NLD,1050,DENK,Beweging DENK,Think,,,,,2017,2023,5856
GBR,1108,UKIP,United Kingdom Independence Party,United Kingdom  Independence Party,,,,,1999,2020,601
GBR,1105,SNP,Scottish National Party,Scottish National Party,,,,,1999,2023,986
GBR,1104,LibDem,Liberal Democratic Party,Liberal Democratic Party,,,,,1999,2023,1388
GBR,1106,Plaid,Plaid Cymru,Party of Wales,,,,,1999,2023,1002
GBR,1101,Cons,Conservative Party,Conservative Party,,,,,1999,2023,1567
GBR,1107,Green,Green Party,Green Party,,,,,1999,2023,1794
GBR,1102,Lab,Labour Party,Labour Party,,,,,1999,2023,1516
GBR,1109,BNP,British National Party,British National Party,,,,,2010,2010,855
GBR,1110,Brexit,Brexit Party,Brexit Party,,,,,2019,2023,7364
PRT,1202,CDS; PP; CDS-PP,Centro Democratico e Social; Partido Popular; Centro Democratico e Social   Partido Popular,Democratic and Social Center; People's Party; CDS-People's Party,,,,,1999,2023,1308
PRT,1201,CDU,Coligação Democrática Unitária,Democratic Unitarian Coalition,,,,,1999,2023,284
PRT,1205,PS,Partido Socialista,Socialist Party,,,,,1999,2023,655
PRT,1206,PPD; PSD,Partido Popular Democratico; Partido Social Democrata,Democratic People's Party; Social Democratic Party,,,,,1999,2023,1359
PRT,1208,BE,Bloco de Esquerda,Left Bloc,,,,,1999,2023,1310
PRT,1209,MPT,Partido da Terra,Earth Party,,,,,2014,2017,3226
PRT,1210,PCP,Partido Comunista Portugues,Portuguese Communist Party,,,,,2019,2023,310
PRT,1211,PEV,"Partido Ecologista ""Os Verdes""","Ecologist Party ""The Greens""",,,,,2019,2023,886
PRT,1250,PAN,Pessosas-Animais-Natureza,People-Animals-Nature,,,,,2017,2023,97
AUT,1306,LIF; NEOS,Liberates Forum; NEOS-Das Neue Österreich und Liberates Forum,Liberal Forum; NEOS-The New Austria and Liberal Forum,,,,,1999,2023,605
AUT,1304,Grüne,Die Grünen,The Austrian Green Party,,,,,1999,2023,1659
AUT,1301,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,,,,,1999,2023,1384
AUT,1302,OVP,Österreichische Volkspartei,Austrian People's Party,,,,,1999,2023,1329
AUT,1303,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,,,,,1999,2023,463
AUT,1307,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,,,,,2006,2014,599
AUT,1308,MARTIN,Liste Dr. Hans-Peter Martin,Hans-Peter Martin's List,,,,,2006,2010,1708
AUT,1310,TeamStronach,Team Stronach für Österreich,Team Stronach for Austria,,,,,2014,2014,1971
FIN,1403,KESK,Suomen Keskusta,Finnish Center Party,,,,,1999,2023,901
FIN,1401,SOP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland,,,,,1999,2023,1303
FIN,1406,RKP/SFP,Ruotsalainen  kansanpuolue/Svenska folkpartiet; Suomen ruotsalainen kansanpuolue/Svenska folkpartiet i Finland,Swedish People's Party; The Swedish People's Party of Finland,,,,,1999,2023,1229
FIN,1404,VAS,Vasemmistoliitto,Left Alliance,,,,,1999,2023,1044
FIN,1413,KIPU,"Kirjava ""puolue"" - Elonkehan puolesta",Ecological Party,,,,,1999,1999,1223
FIN,1408,VIHR,Vihrea Liitto,Green League,,,,,1999,2023,479
FIN,1405,PS,Perussuomalaiset,True Finns; The Finns party,,,,,1999,2023,1689
FIN,1411,EKA,Elakelaiset Kansan Asialla,Pensioners for the People,,,,,1999,1999,2687
FIN,1402,KOK,Kansallinen Kokoomus,National Coalition Party,,,,,1999,2023,495
FIN,1412,REM,Remonttiryhma,Reform Group,,,,,1999,1999,250
FIN,1409,SKL; KO,Suomen Kristillinen Liitto; Kristillisdemokraatit,Finnish Christian League; Christian Democrats,,,,,1999,2023,703
SWE,1607,MP,Miljöepartiet de Grona,Environment Party-The Greens,,,,,1999,2023,456
SWE,1605,M,Moderaterna; Moderata Samlingspartiet,Moderate Party,,,,,1999,2023,690
SWE,1602,SAP,Arbetarpartiet- Socialdemokraterna,Worker's Party-Social  Democrats,,,,,1999,2023,487
SWE,1601,V,Vänsterpartiet,Left Party,,,,,1999,2023,830
SWE,1606,KD,Kristdemokraterna,Christian-Democrats,,,,,1999,2023,651
SWE,1603,C,Sveriges Socialdemokratiska Arbetareparti Centerpartiet,Swedish Social Democratic Party Center Party,,,,,1999,2023,199
SWE,1608,NyD,Ny  Demokrati,New  Democracy,,,,,1999,1999,343
SWE,1604,FP;L,Folkpartiet liberalerna; Liberalerna,Liberal People's Party,,,,,1999,2023,1274
SWE,1609,JL,Junilistan,June List,,,,,2006,2010,1093
SWE,1611,PIRAT,Piratpartiet,Pirate Party,,,,,2010,2017,1485
SWE,1610,SD,Sverigedemokraterna,Sweden Democrats,,,,,2010,2023,409
SWE,1612,FI,Feministiskt initiativ,Feminist Initative,,,,,2014,2017,1240
BGR,2002,ODS; SDS,Obedineni Demokraticni Sili; Sayuz na demokratichnite sili,United Democratic Forces; Union of Democratic Forces,,,,,2002,2014,1183
BGR,2005,G-VMRO;VMRO-BND,Dvizenie Gergiovden;VMRO-Bulgarsko Natsionalno Dvizhenie,Gergiovden-VMRO; VMRO-Bulgarian National Movement,,,,,2002,2020,3908
BGR,2001,NDSV,Nacionalno Dvizenie Simeon Vtori,National Movement Simeon II,,,,,2002,2010,374
BGR,2004,DPS,Dvizenie za Prava i Svobodi,Movement for Rights and Freedoms,,,,,2002,2023,982
BGR,2006,KSII,Koalicija Simeon II,Coalition Simeon II,,,,,2002,2002,5848
BGR,2003,KzB; BSP,Koalicija za Balgarija; BSP-Lyava Bulgaria; Balgarska sotsialisticheska partiya,Coalition for Bulgaria; BSP-Left Bulgaria; Bulgarian Socialist Party,,,,,2002,2023,1665
BGR,2007,NOA; Ataka,Nacionalno Obedinenie Ataka; Ataka,National  Union Attack; Attack,,,,,2006,2020,1793
BGR,2008,DSB,Demokrati za Silna Balgarija,Democrats for a Strong Bulgaria,,,,,2006,2023,1195
BGR,2009,BNS,Balgarski Naroden Sajuz,Bulgarian People's Union,,,,,2006,2010,263
BGR,2011,L,Lider,Lider,,,,,2010,2010,265
BGR,2012,RZS,"Red, zakonnost  i spravedlivost","Order, Lawfullness, Justice",,,,,2010,2010,272
BGR,2010,GERE,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development  of Bulgaria,,,,,2010,2023,760
BGR,2016,ABV,Alternativa za Balgarsko Vazrazhdane,Alternative for Bulgarian Revival,,,,,2014,2014,3187
BGR,2013,DBG,Dvizhenie Bulgaria na grazhdanite,Bulgaria for Citizens l\llovement,,,,,2014,2014,2058
BGR,2014,NFSB,Natsionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,,,,,2014,2020,2057
BGR,2015,BBT,Bulgaria bez Tsenzura,Bulgaria without Censorship,,,,,2014,2014,3188
BGR,2017,Volya,Volya,Will,,,,,2019,2020,5863
BGR,2019,Slavi Trifonov,Slavi Trifonov,Party of Slavi Trifonov,,,,,2019,2023,2635
BGR,2018,DB,Da Bulgaria,"Yes, Bulgaria!",,,,,2019,2023,5861
CZE,2102,ODS,Obcanska Demokraticka Strana,Civic Democratic Party,,,,,2002,2023,466
CZE,2103,KSCM,Komunisticka strana Cech a Moravy,Communist Party of Bohemia and Moravia,,,,,2002,2023,1728
CZE,2105,US-DEU,Unie Svobody-Demokraticka unie,Freedom Union-Democratic Union,,,,,2002,2002,104
CZE,2104,KDU-CSL,Kresfanska demokraticka unie-Ceskoslovenska strana lidova,Christian Democratic Union-­Czechoslovak People's Party,,,,,2002,2023,676
CZE,2101,CSSD,Ceska strana socialne demokraticka,Czech Social Democratic Party,,,,,2002,2023,177
CZE,2107,SZ,Evropsti demokrate Strana zelenych,Green Party,,,,,2006,2014,1554
CZE,2106,SNK-ED,Sdrufoni nezavislych kandidatu-,Union of Independents-European Democrats,,,,,2006,2006,751
CZE,2108,Nezavisli,Nezavisli,Independents,,,,,2006,2006,1425
CZE,2109,TOP09,Top09 ; Tradice Odpovednost Prosperita 09,Top09; Tradit ion Responsibility Prosperity 09,,,,,2010,2023,223
CZE,2110,VV,Veci Vel'ejne,Public Affairs,,,,,2010,2010,1202
CZE,2112,USVIT,"Usvit pi""ime demokracie",Dawn of Direct Democracy,,,,,2014,2014,2049
CZE,2113,SVOBODNI,Strana svobodnych obcanil,Party of Free Citizens,,,,,2014,2014,254
CZE,2111,AN02011,"ANO 2011, Akce nespokojenych obeanil","ANO 2011, Action of Dissatisfied Citizens",,,,,2014,2023,2141
CZE,2114,Pirates,Ceska piratska strana,Czech Pirate Party,,,,,2017,2023,2047
CZE,2116,STAN,Starostove a nezavisli,Mayors and Independents,,,,,2017,2023,1707
CZE,2115,SPD,Svoboda a pl'ima demokracie Tomio Okamura,Freedom and Direct Democracy Tomio Okamura,,,,,2017,2023,6125
EST,2203,ER,Eesti Reformierakond,Estonian Reform Party,,,,,2006,2023,821
EST,2205,KP,Eestimaa iihendatud Rahvapartei,Constitution Party,,,,,2006,2006,18
EST,2201,IRL,Erakond lsamaa ja Res Publica Liit,Pro Patria and Res Publica Union,,,,,2006,2023,685
EST,2206,ERL,Eestimaa Rahvaliit,Estonian People's Union,,,,,2006,2010,110
EST,2204,SDE,Sotsiaaldemokraatlik  Erakond,Social Democratic Party,,,,,2006,2023,1150
EST,2202,EK,Eesti Keskerakond,Estonian Center Party,,,,,2006,2023,533
EST,2207,EER,Erakond  Eestimaa Rohelised,Estonian Greens,,,,,2010,2014,1040
EST,2208,EVE,Eesti  Vabaerakond,Estonian Free Party,,,,,2014,2017,3271
EST,2210,E200,Erakond Eesti 200,Estonia 200,,,,,2019,2023,7340
EST,2209,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People's Party,,,,,2017,2023,4094
HUN,2302,Fidesz-M; Fidesz-KDNP,Fidesz-Magyar Polgari Szovetseg; Fidesz-Keresztenydemokrata Neppart,Fidesz-Hungarian Civic Union; Fidesz-Christian Democratic People's Party,,,,,2002,2023,1691
HUN,2305,MIEP,Magyar lgazsag es elet Partja,Hungarian Justice and Life Party,,,,,2002,2002,1597
HUN,2303,MDF,Magyar Demokrata Forum,Hungarian Democratic Forum,,,,,2002,2010,1697
HUN,2301,MSzP,Magyar Szocialista Partja,Hungarian Socialist Party,,,,,2002,2023,1408
HUN,2304,SzDSz,Szabad Demokratak  Szovetsege,Alliance of Free Democrats,,,,,2002,2010,910
HUN,2306,CP,Centrumpartji,Centre Party,,,,,2002,2002,1779
HUN,2307,KDNP,Keresztenydemokrata  Neppart,Christian Democratic People's Party,,,,,2006,2010,1412
HUN,2308,JOBBIK,Jobbik Magyarorszagert Mozgalom,Jobbik-Movement for a Better Hungary,,,,,2010,2023,42
HUN,2309,LMP,Lehet Mas a Politika,Politics Can Be Different,,,,,2010,2023,1650
HUN,2311,DK,Demokratikus Koalíció,Democratic Coalition,,,,,2014,2023,469
HUN,2310,E14,Együtt 2014; Együtt 2019,Together 2014; Together 2019,,,,,2014,2020,2458
HUN,2314,MM,Momentum Mozgalom,Momentum  Movement,,,,,2019,2023,8249
LVA,2403,TP,Tautas Partija,People's Party,,,,,2002,2006,1755
