name,name_english,party_id,name_short
Sozialdemokratische Partei Österreichs,SocialDemocratic Party of Austria,1301,SPÖ
Österreichische Volkspartei,AustrianPeople’s Party,1302,ÖVP
Freiheitliche Partei Österreichs,FreedomParty of Austria,1303,FPÖ
Die Grünen— Die Grünen,AlternativeThe Greens—The Green Alternative,1304,Grüne
NEOS—Das Neue Österreich und Liberales Forum,NEOS—TheNew Austria and Liberal Forum,1306,NEOS
Suomen Sosialidemokraattinen Puolue,SocialDemocratic Party of Finland,1401,SDP
Kansallinen Kokoomus,NationalCoalition Party,1402,KOK
Suomen Keskusta,CentreParty,1403,KESK
Vasemmistoliitto,LeftAlliance,1404,VAS
Persussuomalaiset,TheFinns Party,1405,PS
Ruotsalainen kansanpuolue/Svenska folkpartiet,SwedishPeople’s Party,1406,SFP
Vihreä Liitto,GreenLeague,1408,VIHR
Kristillisdemokraatit,ChristianDemocrats,1409,KD
Vänsterpartiet,LeftParty,1601,V
Sveriges Socialdemokratiska Arbetareparti,SwedishSocial Democratic Party,1602,S/SAP
Centerpartiet,CenterParty,1603,C
Liberalerna Liberal,People’sParty,1604,L
Moderata Samlingspartiet,ModerateParty,1605,M
Kristdemokraterna,ChristianDemocrats,1606,KD
Miljöepartiet de Gröna,EnvironmentParty—The Greens,1607,MP
Sverigedemokraterna,SwedenDemocrats,1610,SD
Balgarska sotsialisticheska partiya,BulgarianSocialist Party,2003,BSP
Dvizhenie za Prava i Svobodi,Movementfor Rights and Freedoms,2004,DPS
BMRO - Balgarsko natsionalno dvizhenie,BulgarianNational Movement,2005,BMRO
Ataka,Attack,2007,Ataka
Demokrati za Silna Bˇalgarija,Democratsfor a Strong Bulgaria,2008,DSB
Grazhdani za evropeysko razvitie na Balgariya,Citizensfor European Development of Bulgaria,2010,GERB
Natsionalen front za spasenie na Balgariya,NationalFront for the Salvation of Bulgaria,2014,NFSB
Volya,Will,2017,Volya
Da Bulgaria,"Yes,Bulgaria!",2018,DB
Trifonov Slavi Trifonov,Partyof Slavi Trifonov,2019,Slavi
˘Ceská strana sociáln˘e demokratická,CzechSocial Democratic Party,2101,CSSD
Ob˘canská demokratická strana,CivicDemocratic Party,2102,ODS
Komunistická strana ˘Cech a Moravy,CommunistParty of Bohemia and Moravia,2103,KSCM
K˘restanská demokratická unie -˘Ceskoslovenská strana lidová,ChristianDemocratic Union-Czechoslovak People’s Party,2104,KDU-CSL
Tradice Odpov˘ednost Prosperita 09,TraditionResponsibility Prosperity 09,2109,TOP09
Akce nespokojených ob˘canu,Actionof Dissatisfied Citizens,2111,ANO2011
Ceska piratska strana,CzechPirate Party,2114,Pirates
Svoboda a p˘rímá demokracie Tomio Okamura,Freedomand Direct Democracy Tomio Okamura,2115,SPD
Starostové a nezávislí,Mayorsand Independents,2116,STAN
Erakond Isamaa ja Res Publica Liit,ProPatria and Res Publica Union,2201,IRL
Eesti Keskerakond,EstonianCenter Party,2202,EK
Eesti Reformierakond,EstonianReform Party,2203,ER
Sotsiaaldemokraatlik Erakond,SocialDemocratic Party,2204,SDE
Eesti Konservatiivne Rahvaerakond,ConservativePeople’s Party,2209,EKRE
Erakond Eesti 200,Estonia200,2210,E200
Magyar Szocialista Párt,HungarianSocialist Party,2301,MSzP
Fidesz—Magyar Polgári Szövetség Kereszténydemokrata Néppárt,Fidesz—HungarianCivic Union Christian Democratic People’s Party,2302,Fidesz-KDNP
Jobbik Magyarországért Mozgalom,Jobbik—Movementfor a Better Hungary,2308,JOBBIK
Lehet Más a Politika,PoliticsCan Be Different,2309,LMP
Együtt 2019,Together2019,2310,E14
Demokratikus Koalíció,DemocraticCoalition,2311,DK
Momentum Mozgalom,MomentumMovement,2314,MM
Latvijas Krievu savien¯ıba,LatvianRussian Union,2402,LKS
"Zal,o un Zemnieku Savien¯ıba",Unionof Greens and Farmers,2405,ZZS
Nacion¯al¯a apvien¯ıba T¯evzemei un Br¯ıv¯ıbai/LNNK,NationalAlliance  For Fatherland and Freedom/LNNK,2406,NA
"Soci¯aldemokr¯atisk¯a Partija “Saskan, a""",SocialDemocratic Party “Harmony”,2410,SDPS
Vienot¯ıba,Unity,2412,V
Latvijas Re´gionu apvien¯iba,LatvianAssociation of Regions,2414,LRA
LV Kam pieder valsts?,Whoowns the state?,2415,KPV
Jaun¯a konservat¯ıv¯a partija,NewConservative Party,2416,JKP
Att¯ıst¯ıbai/Par!,Development/For!,2417,AP!
Lietuvos socialdemokratu˛ partija,SocialDemocratic Party of Lithuania,2501,LSDP
T˙evyn˙es sajunga,HomelandUnion,2506,TS-LKD
Lietuvos valstieci¸u sajunga,LithuanianPeasant Union,2507,LVZS
Lietuvos lenku˛ rinkimu˛ akcija Electoral,Actionof Lithuania’s Poles,2511,LLRA
Tvarka ir Teisingumas,Orderand Justice,2515,TT
Darbo Partija,LabourParty,2516,DP
Lietuvos Respublikos Liberalu˛ Saj¯udis,LiberalMovement of the Republic of Lithuania,2518,LRLS
Lietuvos Centro Partija,LithuanianCentre Party,2521,LCP
Lietuvos žalioji partija,LithuanianGreen Party,2522,LZP
Visuomeninis rinkimu˛ komitetas “Aušros Maldeikien˙es traukinys“,Public election committee  “Aušra Maldeikien˙e’s Train”,2523,VKM-AMT
Sojusz Lewicy Demokratycznej,DemocraticLeft Alliance,2601,SLD
Platforma Obywatelska,CivicPlatform,2603,PO
Prawo i Sprawiedliwosc,Lawand Justice Party,2605,PiS
Polskie Stronnictwo Ludowe,PolishPeople’s Party,2606,PSL
Kukiz ’15,Kukiz’15,2617,Kukiz
Nowoczesna,Modern,2618,Nowo
Konfederacja Wolnosc i Niepodległosc,ConfederationLiberty and Independence,2619,Konfederacia
Razem Lewica Razem,LeftTogether,2620,Lewica
Wiosna,Spring,2621,Wiosnia
Partidul Social Democrat,SocialDemocratic Party,2701,PSD
Partidul Naµional,LiberalNational Liberal Party,2705,PNL
Uniunea Democratˇa Maghiarˇa din România,HungarianDemocratic Union of Romania,2706,UDMR
Partidul Mis˛carea Popularˇa,People’sMovement Party,2711,PMP
"Aliant,a Liberalilor si Democrat,ilor",Allianceof Liberals and Democrats,2712,ALDE
"Uniunea Salvat, i România",SaveRomania Union,2713,USR
PRO România,PRORomania,2714,PRO
Smer—sociálna demokrçacia,Direction—SocialDemocracy,2803,Smer-SD
Madarskej kooalície/Magyar kooalície,HungarianCoalition,2804,SMK-MKP
Krestanskodemokratické hnutie,ChristianDemocratic Movement,2805,KDH
Slovenská národná strana,SlovakNational Party,2809,SNS
Sloboda a Solidarita,Freedomand Solidarity,2812,SaS
Most-Híd,Bridge,2813,MH
Obycajní Ludia a nezávislé osobnosti,OrdinaryPeople and Independent,2814,OLaNO
Siet,Network,2816,Siet
Ludová strana Naše Slovensko (Marian Kotleba),People’sParty—Our Slovakia,2817,LSNS
Rodina Sme Rodina—Boris Kollár,Weare family—Boris Kollar,2818,Sme
Progresívne Slovensko,ProgressiveSlovakia,2819,PS
SPOLU—obcianska demokracia,TOGETHER—CivicDemocracy,2820,SPOLU
Ludi Za Ludí (Andrej Kiska),Forthe People,2821,Za
Slovenska Demokratska Stranka,SlovenianDemocratic Party,2902,SDS
Socialni Demokrati,SocialDemocrats,2903,SD
Nova Slovenija-Kršcanska Ljudska Stranka,NewSlovenia-Christian People’s Party,2905,NSI
Demokraticna Stranka Upokojencev Slovenije,DemocraticParty of Pensioners of Slovenia,2906,DeSUS
Slovenska nacionalna stranka,SlovenianNational Party,2907,SNS
Stranka Mira Cerarja,Partyof Miro Cerar,2911,SMC
Levica,TheLeft,2912,Levica
Bratusek Stranka Alenke Bratušek,Partyof Alenka Bratusek,2913,Alenka
Lista Marjana Šarca,Listof Marjan Sarec,2915,LMS
Hrvatska Demokratska Zajednica,CroatianDemocratic Union,3101,HDZ
Socialdemokratska Partija Hrvatske,SocialDemocratic Party of Croatia,3102,SDP
Hrvatska Seljacka Stranka,CroatianPeasant Party,3103,HSS
Hrvatska Socijalno Liberalna Stranka,CroatianSocial Liberal Party,3104,HSLS
Hrvatska Narodna Stranka—Liberalni Demokrati,CroatianPeople’s Party—Liberal Democrats,3105,HNS
Istarski Demokratski Sabor,IstrianDemocratic Assembly,3106,IDS
Hrvatski Demokrtski Sabor Slavonije i Baranje,CroatianDemocratic Assembly of Slavonija and Baranja,3107,HDSSB
Hrvatska stranka umirovljenika,CroatianParty of Pensioners,3108,HSU
Samostalna demokratska srpska stranka,IndependentDemocratic Serb Party,3110,SDSS
Most nezavisnih lista,Bridgeof Independent Lists,3115,Most
Živi zid,HumanShield,3116,ZZ
365 Milan Bandic 365—Stranka rada i solidarnosti,MilanBandic 365—The Party of Labour and Solidarity,3117,MB
Narodna stranka-Reformisti,People’sParty-Reformists,3118,NS-R
Hrvatska konzervativna stranka,CroatianConservative Party,3119,HKS
Adalet ve Kalkinma Partisi,Justiceand Development Party,3401,AKP
Cumhuriyet Halk Patisi,RepublicanPeople’s Party,3402,CHP
Milliyetci Hareket Partisi,NationalistMovement Party,3403,MHP
Halklarin Demokratik Partisi,Peoples’Democratic Party,3407,HDP
Iyi Parti,GoodParty,3408,IYI
Arbeiderpartiet,LabourParty,3501,Ap
Fremskrittspartiet,ProgressParty,3502,FrP
Høyre,ConservativeParty,3503,H
Sosialistisk Venstreparti,SocialistLeft Party,3504,SV
Senterpartiet,CentreParty,3505,Sp
Kristelig Folkeparti,ChristianDemocratic Party,3506,KrF
Venstre,LiberalParty,3507,V
Miljøpartiet De Grønne,GreenParty,3508,MDG
Raudt,RedParty,3509,RV
Swiss People’s,Party,3601,SVP/UDC
,SocialDemocratic Party of Switzerland,3602,SP/PS
,FDP.The Liberals,3603,FDP/PLR
,ChristianDemocratic People’s Party,3604,CVP/PVC
,GreenParty,3605,GPS/PES
,GreenLiberal Party,3606,GLP/PVL
,EvangelicalPeople’s Party,3607,EVP/PEV
,ConservativeDemocratic Party,3612,BDP/PBD
Partit Laburista,LabourParty,3701,PL
Partit Nazzjonalista,NationalistParty,3702,PN
Chrëschtlech Sozial Vollekspartei,ChristianSocial People’s Party,3801,CSV
Déi Gréng,TheGreens,3802,Greng
Demokratesch Partei,DemocraticParty,3803,DP
Lëtzebuerger Sozialistesch Aarbechterpartei,LuxembourgSocialist Workers’ Party,3804,LSAP
Alternativ Demokratesch Reformpartei,AlternativeDemocratic Reform Party,3805,ADR
Déi Lénk,TheLeft,3806,DL
Piratepartei Lëtzebuerg,PirateParty Luxembourg,3807,PPLU
Dimokratikós Sinagermós,DemocraticRally,4001,DISY
Anorthotikó Kómma Ergazómenou Laoú,ProgressiveParty of Working People,4003,AKEL
Dimokratikó Kómma,DemocraticParty,4004,DIKO
Kinima Sosialdimokraton EDEK,Movementfor Social Democracy EDEK,4005,EDEK
Kinima Oikologon Perivallontiston,Ecologicaland Environmental Movement,4006,KOP
Symmachía Politón,Citizens’Alliance,4007,SYM
Kinima Allilengyu,SolidarityMovement,4008,Kinhma
Ethniko Laiko Metopo,NationalPopular Front,4009,ELAM
Sjálfstæðisflokkurinn,IndependenceParty,4501,Sj
Vinstrihreyfingin—grænt framboð,Left-GreenMovement,4502,Graen
Framsóknarflokkurinn,ProgressiveParty,4503,F
Miðflokkurinn,CentreParty,4504,M
Samfylkingin,SocialDemocratic Alliance,4505,Sam
Píratar,PirateParty,4506,Pi
Viðreisn,ReformParty,4507,V
Flokkur fólksins,People’sParty,4508,FIF
