party_id,country,party_name_short,party_name_english,party_name,family,url,first,last,cabinet_n,election_n,share_max_year,share_max,wikipedia
1919,AUS,LCL,Liberal and Country League,Liberal and Country League,soc,https://parlgov.fly.dev/data/parties/aus/1919,1934,1946,,3,1946,4.4,http://en.wikipedia.org/wiki/Liberal_and_Country_League
184,AUS,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,con,https://parlgov.fly.dev/data/parties/aus/184,1919,2022,36,40,1922,12.6,http://en.wikipedia.org/wiki/National_Party_of_Australia
2003,AUS,NL,National Labor,National Labor,soc,https://parlgov.fly.dev/data/parties/aus/2003,,,1,,,,http://en.wikipedia.org/wiki/National_Labor_Party
1905,AUS,NAT,Nationalist Party of Australia,Nationalist Party of Australia,right,https://parlgov.fly.dev/data/parties/aus/1905,1917,1929,7,6,1917,54.2,http://en.wikipedia.org/wiki/Nationalist_Party_of_Australia
1918,AUS,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),code,https://parlgov.fly.dev/data/parties/aus/1918,1919,1919,,1,1919,2.4,
2630,AUS,NXT,Nick Xenophon Team,Nick Xenophon Team,lib,https://parlgov.fly.dev/data/parties/aus/2630,2016,2022,,3,2016,1.9,https://en.wikipedia.org/wiki/Nick_Xenophon_Team
386,AUS,ONP,One Nation Party,One Nation Party,right,https://parlgov.fly.dev/data/parties/aus/386,1998,2022,,6,1998,8.4,http://en.wikipedia.org/wiki/Pauline_Hanson%27s_One_Nation
1936,AUS,OPA,One Parliament for Australia,One Parliament for Australia,code,https://parlgov.fly.dev/data/parties/aus/1936,1943,1943,,1,1943,2.1,http://en.wikipedia.org/wiki/One_Parliament_for_Australia
2259,AUS,PUAP,Palmer United Australia Party,Palmer United Australia Party,lib,https://parlgov.fly.dev/data/parties/aus/2259,2013,2022,,3,2013,5.5,http://en.wikipedia.org/wiki/Palmer_United_Party
1898,AUS,PP,Protectionist Party,Protectionist Party,con,https://parlgov.fly.dev/data/parties/aus/1898,1901,1906,5,3,1901,44.4,http://en.wikipedia.org/wiki/Protectionist_Party
1928,AUS,QC,Queensland Country Party,Queensland Country Party,con,https://parlgov.fly.dev/data/parties/aus/1928,1943,1943,,1,1943,1.5,
1897,AUS,SPA,Services Party of Australia,Services Party of Australia,code,https://parlgov.fly.dev/data/parties/aus/1897,1946,1946,,1,1946,1.2,http://en.wikipedia.org/wiki/Services_Party_of_Australia
1911,AUS,SCP,Social Credit Party,Social Credit Party,spec,https://parlgov.fly.dev/data/parties/aus/1911,1934,1937,,2,1934,4.7,http://en.wikipedia.org/wiki/Social_Credit_Party_%28Australia%29
1908,AUS,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),com,https://parlgov.fly.dev/data/parties/aus/1908,1940,1940,,1,1940,2.6,http://en.wikipedia.org/wiki/State_Labor_Party
1912,AUS,UAP,United Australia Party,United Australia Party,con,https://parlgov.fly.dev/data/parties/aus/1912,1931,1943,8,5,1931,36.4,http://en.wikipedia.org/wiki/United_Australia_Party
1920,AUS,VCP,Victorian Country Party,Victorian Country Party,con,https://parlgov.fly.dev/data/parties/aus/1920,1937,1937,,1,1937,3.4,
1929,AUS,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,agr,https://parlgov.fly.dev/data/parties/aus/1929,1919,1919,,1,1919,4.2,http://en.wikipedia.org/wiki/Victorian_Farmers_Union
1906,AUS,WAP,Western Australian Party,Western Australian Party,lib,https://parlgov.fly.dev/data/parties/aus/1906,1906,1906,,1,1906,2.3,http://en.wikipedia.org/wiki/Western_Australian_Party
1739,AUT,ALO,Alternative List Austria,Alternative Liste Österreichs,eco,https://parlgov.fly.dev/data/parties/aut/1739,1983,1983,,1,1983,1.4,http://de.wikipedia.org/wiki/Alternative_Liste_%C3%96sterreichs
1536,AUT,BZO,Alliance for the Future of Austria,Bündnis Zukunft Österreich,right,https://parlgov.fly.dev/data/parties/aut/1536,2006,2013,1,3,2008,10.7,http://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria
1746,AUT,Fritz,The Citizens' Forum Austria,Bürgerforum Österreich – Liste Fritz Dinkhauser,soc,https://parlgov.fly.dev/data/parties/aut/1746,2008,2008,,1,2008,1.8,http://en.wikipedia.org/wiki/Citizens'_Forum_Austria
2688,AUT,BD,Centrist Democrats,Bürgerliche Demokraten,lib,https://parlgov.fly.dev/data/parties/aut/2688,1919,1919,,1,1919,1.6,https://en.wikipedia.org/wiki/Centrist_Democrats
1752,AUT,CSA,Christian Social Alliance (Karl Habsburg List),Christlich Soziale Allianz (Liste Karl Habsburg),chr,https://parlgov.fly.dev/data/parties/aut/1752,1999,1999,,1,1999,1.5,https://en.wikipedia.org/wiki/Karl_von_Habsburg
1743,AUT,DFP,Democratic Progressive Party,Demokratische Fortschrittliche Partei,right,https://parlgov.fly.dev/data/parties/aut/1743,1966,1966,,1,1966,3.3,https://en.wikipedia.org/wiki/Democratic_Progressive_Party_(Austria)
2675,AUT,DD,German-Democrats,Deutschdemokraten,lib,https://parlgov.fly.dev/data/parties/aut/2675,1919,1919,,1,1919,2.2,https://en.wikipedia.org/wiki/German_Democrats
2676,AUT,GFOP,German Freedom and Order Party,Deutsche Freiheits und Ordnungspartei,right,https://parlgov.fly.dev/data/parties/aut/2676,1919,1919,,1,1919,1.9,https://en.wikipedia.org/wiki/German_Freedom_and_Order_Party
2673,AUT,DVP,German People's Party,Deutsche Volkspartei,con,https://parlgov.fly.dev/data/parties/aut/2673,1919,1919,,1,1919,2,https://en.wikipedia.org/wiki/German_People%27s_Party_(Austria)
2672,AUT,DNP,German-Nationals,Deutschnationale,con,https://parlgov.fly.dev/data/parties/aut/2672,1919,1919,,1,1919,5.8,https://en.wikipedia.org/wiki/German-National_Party
1429,AUT,Gruene,The Greens -- The Green Alternative,Die Grünen – Die Grüne Alternative,eco,https://parlgov.fly.dev/data/parties/aut/1429,1986,2019,3,11,2019,13.9,http://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative
1750,AUT,N,Citizens' Initiative for the retention of neutrality,Die Neutralen – Bürgerinitiative,spec,https://parlgov.fly.dev/data/parties/aut/1750,1996,1996,,1,1996,1.3,
2339,AUT,REKOS,The Reform Conservatives,Die Reformkonservativen – REKOS,con,https://parlgov.fly.dev/data/parties/aut/2339,2014,2014,,1,2014,1.2,http://en.wikipedia.org/wiki/The_Reform_Conservatives
1745,AUT,DU,The Independents -- Lugner's List,Die Unabhängigen – Liste Lugner,spec,https://parlgov.fly.dev/data/parties/aut/1745,1999,1999,,1,1999,1,http://en.wikipedia.org/wiki/The_Independents_%28Austria%29
2340,AUT,EU-STOP,"EU Withdrawal, Direct Democracy, Neutrality","EU-Austritt, Direkte Demokratie, Neutralität",spec,https://parlgov.fly.dev/data/parties/aut/2340,2014,2014,,1,2014,2.8,
50,AUT,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,right,https://parlgov.fly.dev/data/parties/aut/50,1949,2019,6,22,1999,26.9,http://en.wikipedia.org/wiki/Freedom_Party_of_Austria
2674,AUT,GDVP,Greater German People's Party,Großdeutsche Volkspartei,con,https://parlgov.fly.dev/data/parties/aut/2674,1920,1930,14,4,1920,17.2,https://en.wikipedia.org/wiki/Greater_German_People%27s_Party
2685,AUT,HB,Homeland Block,Heimatblock,right,https://parlgov.fly.dev/data/parties/aut/2685,1930,1930,1,1,1930,6.2,https://de.wikipedia.org/wiki/Heimatblock
2651,AUT,PILZ,JETZT -- Pilz List,JETZT – Liste Pilz,eco,https://parlgov.fly.dev/data/parties/aut/2651,2017,2019,,2,2017,4.4,https://en.wikipedia.org/wiki/Peter_Pilz_List
769,AUT,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,com,https://parlgov.fly.dev/data/parties/aut/769,1945,2014,2,13,1945,5.4,http://en.wikipedia.org/wiki/Kommunistische_Partei_%C3%96sterreichs
2678,AUT,KB,Carinthian Farmers' Association,Kärtner Bauernbund,agr,https://parlgov.fly.dev/data/parties/aut/2678,1919,1920,,2,1919,1.1,https://en.wikipedia.org/wiki/Carinthian_Farmers%27_Association
2681,AUT,L,Rural Federation,Landbund für Österreich,right,https://parlgov.fly.dev/data/parties/aut/2681,1920,1930,8,4,1927,6.3,https://en.wikipedia.org/wiki/Landbund
955,AUT,LIF,Liberal Forum,Liberales Forum,lib,https://parlgov.fly.dev/data/parties/aut/955,1994,2008,,5,1994,6,http://en.wikipedia.org/wiki/Liberales_Forum
669,AUT,Martin,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,spec,https://parlgov.fly.dev/data/parties/aut/669,2004,2009,,1,2006,2.8,http://en.wikipedia.org/wiki/Hans-Peter_Martin%27s_List
2652,AUT,GILT,My Vote Counts!,Liste Roland Düringer – Meine Stimme GILT,spec,https://parlgov.fly.dev/data/parties/aut/2652,2017,2017,,1,2017,1,https://en.wikipedia.org/wiki/My_Vote_Counts!
2255,AUT,NEOS,NEOS -- The New Austria,NEOS – Das Neue Österreich,lib,https://parlgov.fly.dev/data/parties/aut/2255,2013,2019,,3,2019,8.1,http://en.wikipedia.org/wiki/NEOS_%E2%80%93_The_New_Austria
2679,AUT,NDP,National Democratic Party,Nationaldemokratische Partei,right,https://parlgov.fly.dev/data/parties/aut/2679,1919,1919,,1,1919,1.6,
2684,AUT,DNSAP,National Socialist Workers' Party,Nationalsozialistische Arbeiterpartei,right,https://parlgov.fly.dev/data/parties/aut/2684,1920,1930,,2,1930,3,https://de.wikipedia.org/wiki/Deutsche_Nationalsozialistische_Arbeiterpartei_(%C3%96sterreich)
1744,AUT,Nein,No -- Citizens' Initiative against EU membership,Nein – Bürgerinitiative gegen die EU Mitgliedschaft,spec,https://parlgov.fly.dev/data/parties/aut/1744,1994,1995,,2,1995,1.1,
973,AUT,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,soc,https://parlgov.fly.dev/data/parties/aut/973,1919,2019,33,28,1979,51,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria
2677,AUT,SBP,Styrian Farmers' Party,Steirische Bauernpartei,agr,https://parlgov.fly.dev/data/parties/aut/2677,1919,1919,,1,1919,1.6,https://en.wikipedia.org/wiki/Styrian_Farmers%27_Party
2150,AUT,TS,Team Stronach,Team Stronach,lib,https://parlgov.fly.dev/data/parties/aut/2150,2013,2013,,1,2013,5.7,http://en.wikipedia.org/wiki/Team_Stronach
2689,AUT,T,Czechoslovakians,Tschechoslowaken,spec,https://parlgov.fly.dev/data/parties/aut/2689,1919,1919,,1,1919,2.3,
2683,AUT,UV,"Udeverband, Association against Corruption","Udeverband, Bund gegen Korruption",chr,https://parlgov.fly.dev/data/parties/aut/2683,1927,1927,,1,1927,1,https://de.wikipedia.org/wiki/Ude-Verband
1740,AUT,VGO,United Greens Austria,Vereinte Grüne Österreichs,eco,https://parlgov.fly.dev/data/parties/aut/1740,1983,1990,,2,1983,2,http://de.wikipedia.org/wiki/Vereinte_Gr%C3%BCne_%C3%96sterreichs
2699,AUT,WB,Economic bloc,Wirtschaftsblock,right,https://parlgov.fly.dev/data/parties/aut/2699,1923,1930,,2,1930,12.8,
1013,AUT,OVP,Austrian People's Party,Österreichische Volkspartei,chr,https://parlgov.fly.dev/data/parties/aut/1013,1919,2019,53,28,1945,49.8,http://en.wikipedia.org/wiki/Austrian_People%27s_Party
1594,BEL,AGL-Gr,Agalev -- Green,Agalev – Groen,eco,https://parlgov.fly.dev/data/parties/bel/1594,1979,2019,2,11,1999,7,http://en.wikipedia.org/wiki/Anders_Gaan_Leven
167,BEL,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,soc,https://parlgov.fly.dev/data/parties/bel/167,1946,1977,17,11,1954,37.3,http://en.wikipedia.org/wiki/Belgian_Socialist_Party
2422,BEL,BWP-POB,Belgian Labour Party,Belgische Werkliedenpartij – Parti Ouvrier Belge,soc,https://parlgov.fly.dev/data/parties/bel/2422,1900,1939,12,15,1925,39.4,http://en.wikipedia.org/wiki/Belgian_Labour_Party
2564,BEL,CD,Catholic Dissidents,Catholic Dissidents,chr,https://parlgov.fly.dev/data/parties/bel/2564,1921,1921,,1,1921,4.3,
723,BEL,CVP|CD&V,Flemish Christian Peoples Party | Christian Democrats & Flemish,Christelijke Volkspartij | Christen-Democratisch en Vlaams,chr,https://parlgov.fly.dev/data/parties/bel/723,1968,2019,31,15,1977,26.2,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party
972,BEL,CD+NVA,Christian-Democrat and Flemish / New Flemish Alliance,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,chr,https://parlgov.fly.dev/data/parties/bel/972,2004,2007,2,1,2007,18.5,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party
2481,BEL,CV,Christian Peoples' Party [Daens],Christene Volkspartij,chr,https://parlgov.fly.dev/data/parties/bel/2481,1900,1914,,8,1908,2.7,
119,BEL,CSP,Christian Social Party,Christlich Soziale Partei,chr,https://parlgov.fly.dev/data/parties/bel/119,1994,2014,,5,2004,0.2,http://en.wikipedia.org/wiki/CSP-EVP
969,BEL,FDF,Francophone Democratic Front,Front Démocratique des Francophones | DéFI,lib,https://parlgov.fly.dev/data/parties/bel/969,1965,2019,3,12,1974,5,http://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ralistes_D%C3%A9mocrates_Francophones
171,BEL,FN,National Front,Front National,right,https://parlgov.fly.dev/data/parties/bel/171,1991,2009,,5,1995,2.3,http://en.wikipedia.org/wiki/Front_national_(Belgium)
2424,BEL,FP|VNV,Front Party | Flemish National Union,Frontpartij | Vlaams Nationaal Verbond,soc,https://parlgov.fly.dev/data/parties/bel/2424,1919,1939,,7,1939,8.4,https://en.wikipedia.org/wiki/Frontpartij
1335,BEL,KLS,Cartel of Liberals and Socialists,Kartel Liberale en Socialistische,soc,https://parlgov.fly.dev/data/parties/bel/1335,1906,1958,,8,1912,27.1,
2423,BEL,KP-PC,Catholic Party,Katholieke Partij – Parti catholique,chr,https://parlgov.fly.dev/data/parties/bel/2423,1900,1939,30,15,1902,56,http://en.wikipedia.org/wiki/Catholic_Party_(Belgium)
2486,BEL,KVV,Catholic Flemish People's Party,Katholieke Vlaamse Volkspartij,chr,https://parlgov.fly.dev/data/parties/bel/2486,1939,1939,,1,1939,3.2,https://en.wikipedia.org/wiki/Catholic_Flemish_People%27s_Party
708,BEL,KPB-PCB,Communist Party,Kommunistische Partij – Parti Communiste,com,https://parlgov.fly.dev/data/parties/bel/708,1925,1987,5,20,1946,12.7,http://en.wikipedia.org/wiki/Communist_Party_of_Belgium
63,BEL,LP-PL,Liberal Party,Liberale Partij – Parti libéral,lib,https://parlgov.fly.dev/data/parties/bel/63,1900,1968,29,23,1908,27.6,http://en.wikipedia.org/wiki/Liberal_Party_%28Belgium%29
221,BEL,LD|LDD,"List Dedecker | Libertarian, Direct, Democratic","Lijst Dedecker | Libertair, Direct, Democratisch",lib,https://parlgov.fly.dev/data/parties/bel/221,2007,2010,,2,2007,4,"https://en.wikipedia.org/wiki/Libertair,_Direct,_Democratisch"
915,BEL,MR,Reformist Movement,Mouvement Réformateur,lib,https://parlgov.fly.dev/data/parties/bel/915,2003,2019,15,5,2007,12.5,http://en.wikipedia.org/wiki/Mouvement_R%C3%A9formateur
501,BEL,N-VA,New Flemish Alliance,Nieuw-Vlaamse Alliantie,con,https://parlgov.fly.dev/data/parties/bel/501,2003,2019,1,4,2014,20.3,http://en.wikipedia.org/wiki/New-Flemish_Alliance
640,BEL,PL(B),Liberal Party [Brussels Region],Parti Libéral [Région bruxelloise],lib,https://parlgov.fly.dev/data/parties/bel/640,1971,1978,,4,1971,1.3,http://en.wikipedia.org/wiki/Liberalism_in_Belgium#.28Brussels.29_Liberal_Party
2425,BEL,Rex,Rexist Party,Parti Rexiste,right,https://parlgov.fly.dev/data/parties/bel/2425,1936,1939,,2,1936,11.5,https://en.wikipedia.org/wiki/Rexist_Party
454,BEL,PRL,Liberal Reformist Party,Parti Réformateur Libéral,lib,https://parlgov.fly.dev/data/parties/bel/454,1971,1999,9,10,1995,10.3,http://en.wikipedia.org/wiki/Parti_R%C3%A9formateur_Lib%C3%A9ral
1192,BEL,PSC-CDH,Francophone Christian Social Party -- Humanist Democratic Centre,Parti Social Chrétien – Centre Democrate Humaniste,chr,https://parlgov.fly.dev/data/parties/bel/1192,1968,2019,27,16,1968,11.7,http://en.wikipedia.org/wiki/Humanist_Democratic_Centre
1051,BEL,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,Parti Social Chrétien – Christelijke Volkspartij,chr,https://parlgov.fly.dev/data/parties/bel/1051,1946,1965,14,7,1950,47.7,http://en.wikipedia.org/wiki/Christian_Social_Party_%28Belgium%2C_defunct%29
1378,BEL,PS,Socialist Party [Francophone],Parti Socialiste,soc,https://parlgov.fly.dev/data/parties/bel/1378,1978,2019,20,12,1987,15.7,http://en.wikipedia.org/wiki/Socialist_Party_%28francophone_Belgium%29
438,BEL,Pp,People's Party,Parti populaire,con,https://parlgov.fly.dev/data/parties/bel/438,2010,2019,,3,2014,1.5,http://en.wikipedia.org/wiki/Popular_Party_%28Belgium%29
256,BEL,PA-PTB,Workers' Party of Belgium,Partij van de Arbeid – Parti du Travail de Belgique,com,https://parlgov.fly.dev/data/parties/bel/256,1974,2019,,10,2019,8.6,http://en.wikipedia.org/wiki/Workers_Party_of_Belgium
1110,BEL,PVV|VLD,Party of Liberty and Progress | Flemish Liberals and Democrats,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,lib,https://parlgov.fly.dev/data/parties/bel/1110,1971,2019,23,15,2003,15.4,http://en.wikipedia.org/wiki/Vlaamse_Liberalen_en_Democraten
748,BEL,ROSSEM,Radical Reformers Fighting for an Upright Society,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,lib,https://parlgov.fly.dev/data/parties/bel/748,1991,1991,,1,1991,3.2,http://en.wikipedia.org/wiki/ROSSEM
460,BEL,RW,Walloon Rally,Rassemblement Wallon,soc,https://parlgov.fly.dev/data/parties/bel/460,1968,1981,1,6,1971,6.7,http://en.wikipedia.org/wiki/Walloon_Rally
1440,BEL,RvA-UpD,Respect for Labour,Respect voor Arbeid en Democratie – Union pour la Democratie et le Respect du Travail,right,https://parlgov.fly.dev/data/parties/bel/1440,1978,1985,,3,1981,2.7,http://nl.wikipedia.org/wiki/Respect_voor_Arbeid_en_Democratie
1029,BEL,SP,Socialist Party,Socialistische Partij,soc,https://parlgov.fly.dev/data/parties/bel/1029,1978,2019,13,10,1987,14.9,http://en.wikipedia.org/wiki/Socialistische_Partij_-_Anders
1113,BEL,SPa+Spi,Socialist Party Different / Social Liberal Party,Socialistische Partij Anders / Sociaal-Liberale Partij,soc,https://parlgov.fly.dev/data/parties/bel/1113,2003,2007,2,2,2003,14.9,http://en.wikipedia.org/wiki/SP.A-Spirit
1181,BEL,UDB,Belgian Democratic Union,Union Democratique Belge,code,https://parlgov.fly.dev/data/parties/bel/1181,1946,1946,,1,1946,2.2,http://en.wikipedia.org/wiki/Belgian_Democratic_Union
620,BEL,V,Alive,Vivant,lib,https://parlgov.fly.dev/data/parties/bel/620,1999,1999,,1,1999,2.1,http://en.wikipedia.org/wiki/Vivant
993,BEL,VB,Flemish Block | Flemish Interest,Vlaams Blok | Vlaams Belang,right,https://parlgov.fly.dev/data/parties/bel/993,1978,2019,,12,2007,12,http://en.wikipedia.org/wiki/Vlaams_Blok
290,BEL,VU,People's Union,Volksunie,right,https://parlgov.fly.dev/data/parties/bel/290,1949,1999,3,16,1971,11.1,http://en.wikipedia.org/wiki/People%27s_Union_%28Belgium%29
470,BEL,WOW,Growing Old in Dignity,Waardig Ouder Worden,right,https://parlgov.fly.dev/data/parties/bel/470,1994,1994,,1,1994,2.1,http://nl.wikipedia.org/wiki/Waardig_Ouder_Worden
161,BEL,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,eco,https://parlgov.fly.dev/data/parties/bel/161,1979,2019,2,11,1999,7.3,http://en.wikipedia.org/wiki/Ecolo
2364,BGR,ABV,Alternative for Bulgarian Revival,Alternativa za balgarsko vazrazhdane,soc,https://parlgov.fly.dev/data/parties/bgr/2364,2014,2017,1,2,2014,4.2,http://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival
535,BGR,Ataka,Attack,Ataka,right,https://parlgov.fly.dev/data/parties/bgr/535,2005,2019,,4,2009,9.4,http://en.wikipedia.org/wiki/Attack_%28political_party%29
2362,BGR,BBZ,Bulgaria Without Censorship,Balgarija bes Zensura,con,https://parlgov.fly.dev/data/parties/bgr/2362,2014,2014,,1,2014,5.7,http://en.wikipedia.org/wiki/Bulgaria_Without_Censorship
710,BGR,BE,Euro-Left Coalition,Balgarska Evrolevica,soc,https://parlgov.fly.dev/data/parties/bgr/710,1997,1997,,1,1997,5.6,http://en.wikipedia.org/wiki/Bulgarian_Euro-Left
364,BGR,BNRP,Bulgarian National Radical Party,Balgarska Natsionalnoradikalna Partiya,right,https://parlgov.fly.dev/data/parties/bgr/364,1991,1991,,1,1991,1.1,http://bg.wikipedia.org/wiki/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0_%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%BE-%D1%80%D0%B0%D0%B4%D0%B8%D0%BA%D0%B0%D0%BB%D0%BD%D0%B0_
982,BGR,BSP,Bulgarian Socialist Party,Balgarska Sotsialisticheska Partiya,soc,https://parlgov.fly.dev/data/parties/bgr/982,2022,2023,1,2,2022,9.3,http://en.wikipedia.org/wiki/Bulgarian_Socialist_Party
599,BGR,BBB,Bulgarian Business Bloc,Balgarski Biznes Blok,lib,https://parlgov.fly.dev/data/parties/bgr/599,1991,1997,,3,1997,5.3,http://en.wikipedia.org/wiki/Bulgarian_Business_Bloc
1375,BGR,BNS,Bulgarian People's Union,Balgarski Naroden Suyuz,con,https://parlgov.fly.dev/data/parties/bgr/1375,2005,2007,,1,2005,5.2,http://en.wikipedia.org/wiki/Bulgarian_People%27s_Union
2173,BGR,BZNS-NP,"Bulgarian Agrarian National Union -- ""Nikola Petkov""","Balgarski Zemedelski Naroden Suyuz – ""Nikola Petkov""",agr,https://parlgov.fly.dev/data/parties/bgr/2173,1991,1991,,1,1991,3.4,http://en.wikipedia.org/wiki/Bulgarian_Agrarian_National_Union
